CPU Utilization,Response Time,Class Name
5.273,1,'High'
4.3,1,'High'
9,1,'High'
13.6,1,'High'
4.545,1,'High'
2.6,1,'High'
5.5,1,'High'
8.727,1,'High'
19.9,1,'High'
17.8,1,'High'
21.727,1,'High'
44.9,1,'Low'
21,1,'High'
26.182,1,'Low'
23.9,1,'High'
25.3,1,'Low'
27.8,1,'Low'
26.091,1,'Low'
20.5,1,'High'
23.9,1,'High'
53.727,1,'Very Low'
50.3,1,'Very Low'
48.3,1.1,'Low'
47.909,1,'Low'
36.1,1.1,'Low'
23.4,1,'High'
3.8,1,'High'
1.091,1,'High'
2.1,1,'High'
1,1,'High'
1.273,1.091,'High'
6.3,1.2,'High'
4,1,'High'
6.636,1,'High'
0.9,1,'High'
27.2,1,'Low'
2,1,'High'
2.091,1,'High'
4.2,1,'High'
3.8,1.2,'High'
7.182,1,'High'
13,1.2,'High'
7.8,1,'High'
2.091,1,'High'
1.3,1.1,'High'
2.2,1,'High'
1.182,1,'High'
1.4,1,'High'
3.3,1,'High'
2.1,1,'High'
1.364,1,'High'
1,1,'High'
2,1,'High'
0.727,1,'High'
1.8,1,'High'
7.7,1,'High'
8.636,1,'High'
4.4,1,'High'
5,1,'High'
30.9,1,'Low'
11.909,1.091,'High'
9.1,1,'High'
7.4,1,'High'
3.364,1,'High'
1.9,1,'High'
5.4,1,'High'
14.636,1.091,'High'
9.3,1,'High'
2.8,1,'High'
3.455,1,'High'
0.6,1.1,'High'
1.3,1,'High'
3.8,1,'High'
2.909,1,'High'
1.5,1.1,'High'
1.2,1.1,'High'
1.182,1,'High'
2.1,1,'High'
5,1,'High'
7.091,1,'High'
5.1,1,'High'
5.4,1,'High'
18.2,1,'High'
30.909,1,'Low'
2.5,1,'High'
1.9,1,'High'
11.636,1.091,'High'
15.4,1,'High'
10.3,1,'High'
3.727,1.091,'High'
18.4,1,'High'
23.4,1,'High'
11.727,1.091,'High'
14.8,1,'High'
14.3,1,'High'
17.6,1.1,'High'
2.364,1,'High'
2.3,1.4,'High'
5.1,1,'High'
1.091,1,'High'
2.8,1,'High'
2.2,1,'High'
2.636,1,'High'
5.8,1,'High'
7.3,1,'High'
10.4,1,'High'
13,1.091,'High'
34.8,1,'Low'
3.1,1,'High'
2.909,1,'High'
1.3,1,'High'
2.7,1,'High'
2.4,1,'High'
8.818,1,'High'
20.1,1,'High'
36.4,1,'Low'
37,1,'Low'
35.3,1,'Low'
27.9,1,'Low'
36.182,1,'Low'
11.5,1,'High'
6.5,1,'High'
5.364,1,'High'
7.1,1,'High'
5.4,1,'High'
7.1,1,'High'
6.818,1,'High'
11.6,1,'High'
9.8,1,'High'
10.909,1.273,'High'
12.1,1,'High'
37.1,1.1,'Low'
6.3,1,'High'
10.273,1,'High'
11.2,1,'High'
12.3,1,'High'
31.091,1,'Low'
42,1,'Low'
42.7,1,'Low'
15.273,1,'High'
17.2,1,'High'
24.3,1,'High'
42.455,1,'Low'
29.4,1,'Low'
14,1.9,'High'
9,1,'High'
7.091,1,'High'
6.3,1,'High'
5.2,1,'High'
5.909,1,'High'
7,1,'High'
14.9,1,'High'
7.455,1,'High'
9,1,'High'
13.8,1,'High'
37.3,1,'Low'
6.455,1,'High'
7.9,1,'High'
8.8,1,'High'
15.364,1,'High'
20.2,1,'High'
11.2,1,'High'
22.636,1,'High'
23.2,1,'High'
22.8,1,'High'
22.2,1,'High'
19.636,1.182,'High'
17.7,1,'High'
9.7,1,'High'
6.545,1.364,'High'
10.2,1.1,'High'
8.3,1,'High'
6,1.273,'High'
5.4,1,'High'
6.2,1,'High'
14.636,1,'High'
10.7,1,'High'
15,1,'High'
12.1,1,'High'
33.727,1,'Low'
13.3,1,'High'
22.7,1,'High'
21.909,1,'High'
14.1,1,'High'
11.7,1,'High'
3.727,1,'High'
7.3,1.2,'High'
16.7,1,'High'
33.8,1,'Low'
59,1,'Very Low'
44.6,1.1,'Low'
1.1,1,'High'
0.636,1,'High'
1.6,1,'High'
0.6,1,'High'
0.818,1,'High'
0.9,1,'High'
0.7,1,'High'
1.273,1.091,'High'
2,1,'High'
1.7,1.1,'High'
1.6,1,'High'
0.455,1,'High'
1.8,1,'High'
1.5,1,'High'
0.727,1.636,'High'
0.9,1,'High'
0.4,1,'High'
0.909,1,'High'
1.7,1,'High'
0.9,1.5,'High'
0.364,1,'High'
2.5,1,'High'
0.7,1,'High'
