Jobs_per_ 1Minute,Jobs_per_ 5 Minutes,Jobs_per_ 15Minutes,Mem capacity,Disk_capacity_GB,Num_of_CPU_Cores,CPU_speed_per_Core,Avg_Recieve_Kbps,Avg_Transmit_Kbps,Class_Name
7,7.455,7.727,12,128.72872,6,1,31.248,31.248,'High'
3.6,4.8,5.8,12,128.72872,6,1,31.248,31.248,'High'
3.455,4.909,5.818,12,128.72872,6,1,31.248,31.248,'High'
4.455,5.273,5.909,12,128.72872,6,1,31.248,31.248,'High'
3.5,5.1,5.9,12,128.72872,6,1,31.248,31.248,'High'
4.091,5.364,6.182,12,128.72872,6,1,31.248,31.248,'High'
5.1,5.3,6.2,12,128.72872,6,1,31.248,31.248,'High'
4.545,7.636,10.091,12,128.72872,6,1,31.248,31.248,'High'
9,9,8.091,12,128.72872,6,1,31.248,31.248,'High'
4.1,5,5.8,12,128.72872,6,1,31.248,31.248,'High'
3.727,5.273,5.727,12,128.72872,6,1,31.248,31.248,'High'
4.364,5.091,5.818,12,128.72872,6,1,31.248,31.248,'High'
3,4.7,5.7,12,128.72872,6,1,31.248,31.248,'High'
4.818,6.455,7.182,12,128.72872,6,1,31.248,31.248,'High'
10.3,13.3,12.6,12,128.72872,6,1,31.248,31.248,'High'
6.818,9.364,10.455,12,128.72872,6,1,31.248,31.248,'High'
10.364,10.273,10.636,12,128.72872,6,1,31.248,31.248,'High'
10.1,10.5,11.5,12,128.72872,6,1,31.248,31.248,'High'
13.909,13.182,14.182,12,128.72872,6,1,31.248,31.248,'High'
11.727,12.909,12.818,12,128.72872,6,1,31.248,31.248,'High'
11.1,10.3,10.3,12,128.72872,6,1,31.248,31.248,'High'
6.545,7.545,8.091,12,128.72872,6,1,31.248,31.248,'High'
4.273,5.545,6,12,128.72872,6,1,31.248,31.248,'High'
4.9,5,5.5,12,128.72872,6,1,31.248,31.248,'High'
4.273,4.909,5.182,12,128.72872,6,1,31.248,31.248,'High'
4.727,5.091,5.636,12,128.72872,6,1,31.248,31.248,'High'
3.3,4.6,5.5,12,128.72872,6,1,31.248,31.248,'High'
4,4.818,5.727,12,128.72872,6,1,31.248,31.248,'High'
7.909,9.818,12,12,128.72872,6,1,31.248,31.248,'High'
10.2,9.2,8,12,128.72872,6,1,31.248,31.248,'High'
4.455,5.364,6,12,128.72872,6,1,31.248,31.248,'High'
4.636,5.545,6,12,128.72872,6,1,31.248,31.248,'High'
4.818,5.818,6.636,12,128.72872,6,1,31.248,31.248,'High'
6.7,7.7,8.5,12,128.72872,6,1,31.248,31.248,'High'
6.364,7.455,8,12,128.72872,6,1,31.248,31.248,'High'
7.7,7.4,7.8,12,128.72872,6,1,31.248,31.248,'High'
5.636,6.727,7.455,12,128.72872,6,1,31.248,31.248,'High'
5.3,6.4,7.4,12,128.72872,6,1,31.248,31.248,'High'
5.727,6.727,7,12,128.72872,6,1,31.248,31.248,'High'
6.727,6.727,7.091,12,128.72872,6,1,31.248,31.248,'High'
5.727,6.818,7.545,12,128.72872,6,1,31.248,31.248,'High'
6.727,7.091,7.545,12,128.72872,6,1,31.248,31.248,'High'
4.6,5.4,5.9,12,128.72872,6,1,31.248,31.248,'High'
4.636,5.273,5.727,12,128.72872,6,1,31.248,31.248,'High'
5.2,5.4,6,12,128.72872,6,1,31.248,31.248,'High'
4.364,5.455,6,12,128.72872,6,1,31.248,31.248,'High'
5.182,5.364,6.091,12,128.72872,6,1,31.248,31.248,'High'
5.9,5.7,6.2,12,128.72872,6,1,31.248,31.248,'High'
7.364,9.727,12,12,128.72872,6,1,31.248,31.248,'High'
10,9.364,8.273,12,128.72872,6,1,31.248,31.248,'High'
4.727,5.091,5.455,12,128.72872,6,1,31.248,31.248,'High'
3.2,4.8,5.7,12,128.72872,6,1,31.248,31.248,'High'
5.636,6.455,7.455,12,128.72872,6,1,31.248,31.248,'High'
6.727,6.909,7.455,12,128.72872,6,1,31.248,31.248,'High'
6,6.9,7.4,12,128.72872,6,1,31.248,31.248,'High'
6.545,7.273,7.545,12,128.72872,6,1,31.248,31.248,'High'
7.2,6.9,7.4,12,128.72872,6,1,31.248,31.248,'High'
5.636,6.909,7.636,12,128.72872,6,1,31.248,31.248,'High'
7.545,7.909,7.909,12,128.72872,6,1,31.248,31.248,'High'
7.6,7.5,8.3,12,128.72872,6,1,31.248,31.248,'High'
14.8,15.1,14.1,12,128.72872,6,1,31.248,31.248,'High'
5.636,6.909,7.182,12,128.72872,6,1,31.248,31.248,'High'
5.182,5.182,5.545,12,128.72872,6,1,31.248,31.248,'High'
3.6,4.6,5.3,12,128.72872,6,1,31.248,31.248,'High'
4,4.909,5.455,12,128.72872,6,1,31.248,31.248,'High'
4.7,5,5.6,12,128.72872,6,1,31.248,31.248,'High'
3.727,5,5.727,12,128.72872,6,1,31.248,31.248,'High'
4.455,5.091,5.818,12,128.72872,6,1,31.248,31.248,'High'
6.8,8.8,11.5,12,128.72872,6,1,31.248,31.248,'High'
9.909,9.909,8.727,12,128.72872,6,1,31.248,31.248,'High'
5.182,5.636,6.364,12,128.72872,6,1,31.248,31.248,'High'
4.1,5.5,6.5,12,128.72872,6,1,31.248,31.248,'High'
4.818,5.727,6.545,12,128.72872,6,1,31.248,31.248,'High'
5.182,5.727,6.545,12,128.72872,6,1,31.248,31.248,'High'
4.9,6.4,7.2,12,128.72872,6,1,31.248,31.248,'High'
6.636,8.273,9,12,128.72872,6,1,31.248,31.248,'High'
8,8.455,9.273,12,128.72872,6,1,31.248,31.248,'High'
6.2,7.6,8.6,12,128.72872,6,1,31.248,31.248,'High'
10.091,12,13.636,12,128.72872,6,1,31.248,31.248,'High'
15.3,14.5,14.6,12,128.72872,6,1,31.248,31.248,'High'
14.273,15.909,16.364,12,128.72872,6,1,31.248,31.248,'High'
12.6,13,14.1,12,128.72872,6,1,31.248,31.248,'High'
12.545,13.727,14.727,12,128.72872,6,1,31.248,31.248,'High'
15.364,14.545,13.727,12,128.72872,6,1,31.248,31.248,'High'
9.3,9.5,9.6,12,128.72872,6,1,31.248,31.248,'High'
6.636,7.545,8.091,12,128.72872,6,1,31.248,31.248,'High'
7.273,6.455,6.545,12,128.72872,6,1,31.248,31.248,'High'
4,5.1,5.8,12,128.72872,6,1,31.248,31.248,'High'
4.545,5.364,6,12,128.72872,6,1,31.248,31.248,'High'
4.182,4.909,5.727,12,128.72872,6,1,31.248,31.248,'High'
4.2,4.8,5.4,12,128.72872,6,1,31.248,31.248,'High'
3.818,4.727,5.364,12,128.72872,6,1,31.248,31.248,'High'
7.182,8.545,10.455,12,128.72872,6,1,31.248,31.248,'High'
4.636,5.091,5.727,12,128.72872,6,1,31.248,31.248,'High'
4.9,5.4,5.7,12,128.72872,6,1,31.248,31.248,'High'
3.545,5.182,5.818,12,128.72872,6,1,31.248,31.248,'High'
6.3,7.4,8.1,12,128.72872,6,1,31.248,31.248,'High'
6.182,8.273,9,12,128.72872,6,1,31.248,31.248,'High'
8.545,8.091,8.364,12,128.72872,6,1,31.248,31.248,'High'
6.5,8.4,9.6,12,128.72872,6,1,31.248,31.248,'High'
9.455,10.182,11.091,12,128.72872,6,1,31.248,31.248,'High'
11.182,10.818,11,12,128.72872,6,1,31.248,31.248,'High'
9.6,10.9,12.2,12,128.72872,6,1,31.248,31.248,'High'
10.909,12.364,13.091,12,128.72872,6,1,31.248,31.248,'High'
15.6,13.5,14.3,12,128.72872,6,1,31.248,31.248,'High'
15.273,16.545,16.091,12,128.72872,6,1,31.248,31.248,'High'
9.909,9.909,10.182,12,128.72872,6,1,31.248,31.248,'High'
7.8,8.3,8.4,12,128.72872,6,1,31.248,31.248,'High'
5,5.909,6.364,12,128.72872,6,1,31.248,31.248,'High'
4.545,5.091,5.909,12,128.72872,6,1,31.248,31.248,'High'
4.4,5.2,6.1,12,128.72872,6,1,31.248,31.248,'High'
4.545,5.545,6.182,12,128.72872,6,1,31.248,31.248,'High'
6.1,5.6,6.1,12,128.72872,6,1,31.248,31.248,'High'
7.636,9.545,11.545,12,128.72872,6,1,31.248,31.248,'High'
10.6,9,7.8,12,128.72872,6,1,31.248,31.248,'High'
4,5,5.909,12,128.72872,6,1,31.248,31.248,'High'
6.182,5.545,5.818,12,128.72872,6,1,31.248,31.248,'High'
3.6,4.6,5.2,12,128.72872,6,1,31.248,31.248,'High'
4.455,4.818,5.727,12,128.72872,6,1,31.248,31.248,'High'
6.2,7.2,7.8,12,128.72872,6,1,31.248,31.248,'High'
6,7.455,8.909,12,128.72872,6,1,31.248,31.248,'High'
16.7,13.9,13.3,12,128.72872,6,1,31.248,31.248,'High'
9.909,10.273,10.909,12,128.72872,6,1,31.248,31.248,'High'
12.091,11.364,11.545,12,128.72872,6,1,31.248,31.248,'High'
12.1,11.8,12.9,12,128.72872,6,1,31.248,31.248,'High'
11.909,12.727,13,12,128.72872,6,1,31.248,31.248,'High'
14.364,14.182,15,12,128.72872,6,1,31.248,31.248,'High'
13.7,14.4,14.2,12,128.72872,6,1,31.248,31.248,'High'
9.727,9.818,9.727,12,128.72872,6,1,31.248,31.248,'High'
5.545,5.818,6.182,12,128.72872,6,1,31.248,31.248,'High'
3.8,4.7,5.5,12,128.72872,6,1,31.248,31.248,'High'
4.273,4.909,5.545,12,128.72872,6,1,31.248,31.248,'High'
3.4,4.5,5.5,12,128.72872,6,1,31.248,31.248,'High'
3.636,5,5.636,12,128.72872,6,1,31.248,31.248,'High'
5.5,5.2,5.9,12,128.72872,6,1,31.248,31.248,'High'
7.909,9.273,11.182,12,128.72872,6,1,31.248,31.248,'High'
